work_order_id,vehicle_id,service_date,service_type,parts_replaced,labour_hours,cost_inr,downtime_hours,failure_reported,technician_id
WO-000494,VEH-0157,10-02-2024,Propeller Replacement,Battery Pack,7.5,INR 35532.87,47.4,Y,TEC-177
WO-000495,VEH-0157,2024-12-04 00:00:00,Propeller Replacement,"Motor, ESC",1.6,INR 45304.55,39.6,yes,TEC-026
WO-000496,VEH-0157,2024-05-27 00:00:00,Firmware Update,,-,INR 23300.86,5.5,,TEC-136
WO-000497,VEH-0157,10-05-2025,Engine Service,NA,14.0,29507.49,52.6,Y,TEC-126
WO-000498,VEH-0157,09/08/2024 00:00,Routine Inspection,Battery Pack,10.6,6093.92,3.3,no,TEC-056
WO-000499,VEH-0157,2025-04-13 00:00:00,Tyre Change,NA,3.5,31565.99,61.8,N,TEC-127
WO-000500,VEH-0514,18-03-2025,Routine Inspection,"Brake Pads, Fluid",5.3,14226.48,45.8,yes,TEC-214
WO-000501,VEH-0514,07-12-2024,Routine Inspection,"Brake Pads, Fluid",7.3,"34,768.50",27.8,yes,TEC-150
WO-000502,VEH-0514,2024-06-08 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",2.8,INR 27223.93,91.0,,TEC-147
WO-000503,VEH-0514,24-08-2024,Motor Overhaul,Battery Pack,11.7,"13,660.59",46.4,N,TEC-072
WO-000504,VEH-0514,2025-07-02 00:00:00,Landing Gear Fix,Landing Skid,8.1,31342.3,18.5,N,TEC-091
WO-000505,VEH-0559,06-02-2024,Brake Pad Replacement,Landing Skid,9.3,INR 25195.90,75.9,Y,TEC-206
WO-000506,VEH-0559,12/10/2024 00:00,Landing Gear Fix,Landing Skid,3.4,"38,051.47",74.0,N,TEC-172
WO-000507,VEH-0094,13-08-2024,Motor Overhaul,Landing Skid,3.2,"40,196.28",28.3,,TEC-134
WO-000508,VEH-0094,29/04/2025 00:00,Landing Gear Fix,Propeller x2,4.5,"42,145.91",71.3,,TEC-112
WO-000509,VEH-0094,13-08-2024,Propeller Replacement,Battery Pack,10.6,29605.85,23.6,yes,TEC-190
WO-000510,VEH-0094,16/10/2024 00:00,Propeller Replacement,Landing Skid,7.0,"32,219.67",53.3,N,TEC-190
WO-000511,VEH-0094,21/10/2024 00:00,Landing Gear Fix,Battery Pack,4.2,"27,311.61",2.9,N,TEC-163
WO-000512,VEH-0094,2025-05-11 00:00:00,Landing Gear Fix,Propeller x2,4.6,INR 2227.69,91.9,N,TEC-125
WO-000513,VEH-0252,28-09-2024,Brake Pad Replacement,Propeller x2,10.2,INR 26182.71,76.8,no,TEC-108
WO-000514,VEH-0252,10-02-2025,Engine Service,Propeller x2,N/A,29232.17,57.7,Y,TEC-116
WO-000515,VEH-0252,19/01/2025 00:00,Propeller Replacement,"Brake Pads, Fluid",4.1,45268.33,35.3,N,TEC-201
WO-000516,VEH-0252,01-05-2025,Tyre Change,Propeller x2,12.7,46108.49,41.9,Y,TEC-126
WO-000517,VEH-0252,2025-04-28 00:00:00,Brake Pad Replacement,Propeller x2,2.0,5992.07,11.0,,TEC-046
WO-000518,VEH-0252,2025-01-29 00:00:00,Propeller Replacement,"Brake Pads, Fluid",N/A,"19,809.19",19.7,Y,TEC-146
WO-000519,VEH-0099,15/03/2025 00:00,Routine Inspection,Propeller x2,8.2,10720.81,6.5,,TEC-126
WO-000520,VEH-0099,2024-09-02 00:00:00,Brake Pad Replacement,Landing Skid,12.5,INR 10409.85,5.7,N,TEC-127
WO-000521,VEH-0099,07/09/2024 00:00,Brake Pad Replacement,Landing Skid,1.6,INR 45668.34,12.2,Y,TEC-034
WO-000522,VEH-0099,27/06/2024 00:00,Brake Pad Replacement,Battery Pack,12.1,INR 3322.04,4.1,no,TEC-089
WO-000523,VEH-0031,01-04-2024,Battery Pack Swap,Battery Pack,0.8,"18,227.14",47.2,N,TEC-106
WO-000524,VEH-0031,2024-05-17 00:00:00,Landing Gear Fix,Propeller x2,6.3,INR 31364.65,7.9,,TEC-136
WO-000525,VEH-0031,2024-10-18 00:00:00,Engine Service,NA,12.1,INR 8951.46,71.0,no,TEC-149
WO-000526,VEH-0031,19-03-2025,Battery Pack Swap,NA,null,15376.0,23.1,,TEC-027
WO-000527,VEH-0457,2024-08-02 00:00:00,Landing Gear Fix,Landing Skid,5.3,27367.06,33.0,N,TEC-132
WO-000528,VEH-0130,17-03-2025,Brake Pad Replacement,NA,2.7,40928.82,65.9,yes,TEC-190
WO-000529,VEH-0130,2025-04-11 00:00:00,Engine Service,Propeller x2,12.8,"42,533.20",48.1,yes,TEC-120
WO-000530,VEH-0130,2025-04-16 00:00:00,Propeller Replacement,Battery Pack,9.5,12622.78,60.0,yes,TEC-203
WO-000531,VEH-0247,2025-04-11 00:00:00,Brake Pad Replacement,NA,8.2,"42,737.45",16.6,,TEC-220
WO-000532,VEH-0247,24-04-2024,Routine Inspection,Battery Pack,11.4,"36,946.32",35.0,yes,TEC-213
WO-000533,VEH-0219,16/05/2025 00:00,Firmware Update,"Brake Pads, Fluid",3.1,12980.72,9.5,,TEC-197
WO-000534,VEH-0219,2025-02-16 00:00:00,Battery Pack Swap,NA,5.7,"15,961.72",10.8,Y,TEC-078
WO-000535,VEH-0219,2025-02-04 00:00:00,Engine Service,,4.4,24742.17,68.8,no,TEC-103
WO-000536,VEH-0219,20/08/2024 00:00,Routine Inspection,NA,5.1,27665.32,32.3,,TEC-116
WO-000537,VEH-0219,2025-05-01 00:00:00,Motor Overhaul,Propeller x2,5.5,"24,556.48",18.1,Y,TEC-173
WO-000538,VEH-0610,2024-08-06 00:00:00,Propeller Replacement,Propeller x2,10.8,INR 45060.98,15.4,yes,TEC-011
WO-000539,VEH-0610,30-08-2024,Propeller Replacement,Battery Pack,11.8,18143.91,92.2,N,TEC-078
WO-000540,VEH-0610,2025-06-15 00:00:00,Engine Service,Battery Pack,6.5,15228.05,29.0,N,TEC-023
WO-000541,VEH-0610,28-03-2024,Tyre Change,Battery Pack,4.2,INR 43791.89,74.1,,TEC-160
WO-000542,VEH-0610,2024-03-01 00:00:00,Brake Pad Replacement,,N/A,INR 19460.12,95.2,Y,TEC-204
WO-000543,VEH-0610,11/05/2024 00:00,Brake Pad Replacement,"Brake Pads, Fluid",2.9,"6,718.27",81.6,N,TEC-173
WO-000544,VEH-0107,2024-10-17 00:00:00,Engine Service,,12.7,37892.28,21.2,yes,TEC-008
WO-000545,VEH-0107,2024-11-08 00:00:00,Propeller Replacement,"Brake Pads, Fluid",1.8,8482.39,33.7,,TEC-090
WO-000546,VEH-0107,05-04-2025,Landing Gear Fix,,1.7,INR 20398.93,82.2,N,TEC-039
WO-000547,VEH-0107,2024-06-22 00:00:00,Engine Service,Battery Pack,13.3,INR 6315.39,54.9,no,TEC-089
WO-000548,VEH-0178,29-11-2024,Firmware Update,Battery Pack,6.5,"45,327.04",47.6,N,TEC-214
WO-000549,VEH-0178,22-07-2024,Battery Pack Swap,Landing Skid,11.6,INR 11756.62,67.8,,TEC-119
WO-000550,VEH-0178,17/05/2024 00:00,Frame Repair,"Motor, ESC",9.0,"3,904.39",38.6,no,TEC-139
WO-000551,VEH-0178,06-05-2025,Tyre Change,NA,8.5,21523.9,26.5,yes,TEC-022
WO-000552,VEH-0178,2025-04-20 00:00:00,Landing Gear Fix,Landing Skid,1.1,7728.79,34.1,yes,TEC-026
WO-000553,VEH-0616,2024-03-21 00:00:00,Tyre Change,"Motor, ESC",  ,INR 3626.03,27.3,Y,TEC-174
WO-000554,VEH-0616,05-10-2024,Brake Pad Replacement,Propeller x2,2.9,47282.93,79.9,,TEC-055
WO-000555,VEH-0616,2024-05-17 00:00:00,Engine Service,Battery Pack,5.3,22016.11,45.6,Y,TEC-160
WO-000556,VEH-0616,2024-07-31 00:00:00,Landing Gear Fix,NA,7.9,19718.39,44.6,yes,TEC-110
WO-000557,VEH-0616,24/12/2024 00:00,Landing Gear Fix,NA,12.3,19877.99,4.4,yes,TEC-148
WO-000558,VEH-0616,26/01/2025 00:00,Landing Gear Fix,,9.0,40170.64,45.7,yes,TEC-107
WO-000559,VEH-0689,2024-01-06 00:00:00,Landing Gear Fix,Landing Skid,5.7,15016.52,70.5,no,TEC-151
WO-000560,VEH-0689,15/05/2025 00:00,Battery Pack Swap,Propeller x2,13.2,INR 36535.25,91.4,Y,TEC-174
WO-000561,VEH-0689,2025-06-22 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",13.4,"25,083.86",54.8,N,TEC-014
WO-000562,VEH-0689,18-03-2024,Frame Repair,,9.5,INR 13855.20,5.0,no,TEC-006
WO-000563,VEH-0131,22-06-2024,Brake Pad Replacement,Landing Skid,11.3,"26,191.98",7.7,N,TEC-046
WO-000564,VEH-0131,2025-03-04 00:00:00,Engine Service,Landing Skid,6.0,"4,483.18",43.5,N,TEC-032
WO-000565,VEH-0131,2025-04-26 00:00:00,Landing Gear Fix,Propeller x2,3.6,"6,658.46",64.2,Y,TEC-032
WO-000566,VEH-0131,2024-03-25 00:00:00,Motor Overhaul,Battery Pack,7.4,1209.89,39.2,yes,TEC-024
WO-000567,VEH-0131,2024-05-01 00:00:00,Routine Inspection,Propeller x2,6.1,35147.25,65.8,Y,TEC-219
WO-000568,VEH-0131,24/01/2025 00:00,Frame Repair,"Motor, ESC",,708.5,4.8,,TEC-103
WO-000569,VEH-0440,27/11/2024 00:00,Propeller Replacement,Propeller x2,3.6,4927.73,64.0,no,TEC-120
WO-000570,VEH-0301,2024-01-06 00:00:00,Landing Gear Fix,"Brake Pads, Fluid",0.8,INR 18560.31,80.9,no,TEC-162
WO-000571,VEH-9761,2024-07-28 00:00:00,Firmware Update,,3.8,"20,270.13",41.1,no,TEC-173
WO-000572,VEH-0152,2024-06-01 00:00:00,Routine Inspection,,7.2,"26,987.57",13.1,,TEC-200
WO-000573,VEH-0152,2025-01-20 00:00:00,Routine Inspection,"Motor, ESC",5.5,"6,858.54",9.8,,TEC-189
WO-000574,VEH-0152,2024-01-29 00:00:00,Landing Gear Fix,"Motor, ESC",4.4,"30,576.03",27.6,N,TEC-018
WO-000575,VEH-0152,05/01/2025 00:00,Propeller Replacement,,12.6,INR 15841.41,66.2,N,TEC-169
WO-000576,VEH-9822,2024-05-30 00:00:00,Motor Overhaul,,13.7,"35,868.14",84.9,Y,TEC-086
WO-000577,VEH-0152,10-05-2024,Battery Pack Swap,Propeller x2,6.0,41389.9,86.8,yes,TEC-016
WO-000578,VEH-0253,2024-04-28 00:00:00,Frame Repair,Propeller x2,2.5,6254.92,71.3,,TEC-104
WO-000579,VEH-0005,03-01-2024,Landing Gear Fix,Landing Skid,5.2,INR 30728.38,31.1,Y,TEC-056
WO-000580,VEH-0005,13/02/2024 00:00,Frame Repair,"Brake Pads, Fluid",-,"32,205.20",55.7,no,TEC-075
WO-000581,VEH-0005,05-10-2024,Frame Repair,Propeller x2,12.2,"24,556.06",87.5,no,TEC-161
WO-000582,VEH-0005,2024-10-20 00:00:00,Battery Pack Swap,"Motor, ESC",11.6,"19,545.47",40.8,,TEC-058
WO-000583,VEH-0648,19-05-2025,Engine Service,"Brake Pads, Fluid",9.9,33571.8,55.2,Y,TEC-125
WO-000584,VEH-0648,10-10-2024,Routine Inspection,,2.0,31875.61,71.1,N,TEC-073
WO-000585,VEH-0648,12/09/2024 00:00,Tyre Change,Landing Skid,1.7,INR 32891.60,13.3,,TEC-145
WO-000586,VEH-0729,19-04-2025,Tyre Change,"Motor, ESC",7.2,27323.05,14.9,Y,TEC-047
WO-000587,VEH-0343,07-07-2024,Firmware Update,NA,0.7,"37,862.04",7.4,N,TEC-032
WO-000588,VEH-0343,29-03-2024,Firmware Update,Battery Pack,  ,26706.0,22.3,Y,TEC-111
WO-000589,VEH-0343,2024-12-16 00:00:00,Routine Inspection,Propeller x2,1.9,37893.87,93.2,,TEC-073
WO-000590,VEH-0343,2025-03-04 00:00:00,Landing Gear Fix,Landing Skid,6.2,"46,081.99",9.4,yes,TEC-031
WO-000591,VEH-0619,19/08/2024 00:00,Engine Service,Battery Pack,4.4,"20,406.49",86.0,no,TEC-019
WO-000592,VEH-0619,22-06-2024,Battery Pack Swap,"Motor, ESC",6.0,20304.3,84.7,no,TEC-146
WO-000593,VEH-0506,08-04-2024,Tyre Change,"Motor, ESC",9.6,7189.17,16.8,yes,TEC-003
WO-000594,VEH-0506,08-03-2025,Propeller Replacement,"Motor, ESC",1.5,INR 29623.26,15.4,Y,TEC-048
WO-000595,VEH-0506,24-06-2025,Tyre Change,NA,7.3,"22,407.42",26.8,Y,TEC-144
WO-000596,VEH-0506,08/09/2024 00:00,Brake Pad Replacement,,3.6,47103.84,62.4,N,TEC-146
WO-000597,VEH-0268,01-01-2025,Brake Pad Replacement,Landing Skid,10.2,14861.57,76.6,yes,TEC-023
WO-000598,VEH-0268,02-05-2025,Firmware Update,Battery Pack,4.4,INR 32640.82,1.5,N,TEC-015
WO-000599,VEH-0268,2025-06-05 00:00:00,Firmware Update,"Motor, ESC",9.6,INR 40290.56,79.6,,TEC-063
WO-000600,VEH-0268,04-06-2024,Frame Repair,,6.8,18262.87,65.4,no,TEC-027
WO-000601,VEH-0268,22/07/2024 00:00,Motor Overhaul,NA,6.1,"39,693.32",64.4,N,TEC-003
WO-000602,VEH-0268,05-10-2024,Landing Gear Fix,"Brake Pads, Fluid",12.1,"46,162.28",28.4,no,TEC-154
WO-000603,VEH-0051,05-08-2024,Propeller Replacement,"Motor, ESC",10.2,41113.16,22.7,yes,TEC-123
WO-000604,VEH-0051,12/12/2024 00:00,Propeller Replacement,Landing Skid,7.9,INR 13493.23,37.6,N,TEC-139
WO-000605,VEH-0051,24/02/2025 00:00,Routine Inspection,"Brake Pads, Fluid",4.7,"40,724.67",76.3,no,TEC-142
WO-000606,VEH-0051,07/04/2025 00:00,Firmware Update,Battery Pack,4.7,"23,303.27",18.8,,TEC-100
WO-000607,VEH-0051,30/05/2024 00:00,Routine Inspection,Battery Pack,8.0,"9,299.28",48.6,yes,TEC-007
WO-000608,VEH-0065,30-04-2024,Engine Service,,8.9,INR 9503.58,70.5,N,TEC-210
WO-000609,VEH-0065,2024-02-07 00:00:00,Firmware Update,NA,3.1,25542.3,3.7,N,TEC-024
WO-000610,VEH-0688,2025-03-08 00:00:00,Brake Pad Replacement,Propeller x2,7.3,40573.9,62.1,N,TEC-044
WO-000611,VEH-0688,2025-04-05 00:00:00,Landing Gear Fix,Battery Pack,2.0,7425.74,69.1,,TEC-071
WO-000612,VEH-0688,2024-09-13 00:00:00,Firmware Update,,8.5,"39,124.60",38.3,Y,TEC-054
WO-000613,VEH-0688,22-04-2025,Propeller Replacement,NA,7.3,46227.01,27.9,no,TEC-094
WO-000614,VEH-0688,05-04-2025,Firmware Update,,13.8,"28,840.19",29.5,no,TEC-137
WO-000615,VEH-0601,07/11/2024 00:00,Frame Repair,NA,11.5,INR 37817.69,36.6,Y,TEC-126
WO-000616,VEH-0601,28-04-2025,Landing Gear Fix,NA,7.0,"26,599.60",38.3,no,TEC-119
WO-000617,VEH-0601,28/09/2024 00:00,Landing Gear Fix,Propeller x2,4.9,"13,056.34",51.6,Y,TEC-094
WO-000618,VEH-0601,2025-06-19 00:00:00,Battery Pack Swap,"Brake Pads, Fluid",10.7,INR 46614.82,18.1,,TEC-149
WO-000619,VEH-0261,09/06/2024 00:00,Frame Repair,,10.4,"2,374.12",19.5,yes,TEC-040
WO-000620,VEH-0261,14-11-2024,Motor Overhaul,"Brake Pads, Fluid",9.3,INR 1712.90,39.3,,TEC-087
WO-000621,VEH-0261,27-01-2024,Brake Pad Replacement,NA,9.6,INR 1044.03,66.7,,TEC-062
WO-000622,VEH-0261,2025-02-28 00:00:00,Frame Repair,,10.2,"31,794.42",10.8,no,TEC-175
WO-000623,VEH-0261,06-06-2025,Engine Service,,12.2,"31,341.89",65.4,N,TEC-162
WO-000624,VEH-0261,19/12/2024 00:00,Battery Pack Swap,"Motor, ESC",10.7,INR 28945.90,58.2,,TEC-088
WO-000625,VEH-9057,12-09-2024,Tyre Change,"Brake Pads, Fluid",6.8,INR 10661.74,32.6,N,TEC-179
WO-000626,VEH-0158,2024-11-06 00:00:00,Tyre Change,NA,6.8,21248.47,4.9,yes,TEC-162
WO-000627,VEH-0158,25/07/2024 00:00,Motor Overhaul,Landing Skid,5.9,INR 42852.70,6.2,no,TEC-075
WO-000628,VEH-0158,22/07/2024 00:00,Routine Inspection,Battery Pack,7.3,"39,808.99",81.5,,TEC-066
WO-000629,VEH-0212,15-03-2024,Routine Inspection,"Motor, ESC",12.7,INR 7184.31,1.6,yes,TEC-129
WO-000630,VEH-0212,2025-03-22 00:00:00,Tyre Change,Battery Pack,unknown,"36,233.05",76.4,no,TEC-047
WO-000631,VEH-0212,05/01/2024 00:00,Landing Gear Fix,NA,11.0,31958.73,74.9,Y,TEC-137
WO-000632,VEH-0003,2024-04-21 00:00:00,Tyre Change,"Motor, ESC",6.3,INR 11613.22,6.1,no,TEC-149
WO-000633,VEH-0003,2024-03-24 00:00:00,Brake Pad Replacement,,1.5,38631.81,64.6,no,TEC-159
WO-000634,VEH-0003,24-03-2024,Engine Service,Landing Skid,8.4,23065.23,15.8,no,TEC-027
WO-000635,VEH-0003,06/05/2024 00:00,Engine Service,NA,  ,"5,785.75",2.8,yes,TEC-213
WO-000636,VEH-0003,24/09/2024 00:00,Propeller Replacement,"Motor, ESC",N/A,INR 4820.92,77.7,no,TEC-177
WO-000637,VEH-0003,03-01-2024,Propeller Replacement,Propeller x2,,30691.59,79.4,no,TEC-148
WO-000638,VEH-0659,26-08-2024,Engine Service,"Brake Pads, Fluid",6.1,20236.97,31.4,yes,TEC-009
WO-000639,VEH-0659,12/02/2024 00:00,Propeller Replacement,"Brake Pads, Fluid",2.7,INR 18003.78,37.8,N,TEC-094
WO-000640,VEH-0129,2024-06-06 00:00:00,Propeller Replacement,"Motor, ESC",11.1,"1,007.00",11.5,N,TEC-157
WO-000641,VEH-9128,06-08-2024,Tyre Change,Landing Skid,5.5,29908.17,8.4,,TEC-189
WO-000642,VEH-0731,08-04-2025,Brake Pad Replacement,NA,1.5,"39,380.60",10.4,,TEC-072
WO-000643,VEH-0731,05/03/2024 00:00,Battery Pack Swap,"Motor, ESC",2.5,"46,086.28",85.8,N,TEC-012
WO-000644,VEH-0436,07/01/2024 00:00,Propeller Replacement,"Motor, ESC",12.9,INR 45023.50,61.1,no,TEC-050
WO-000645,VEH-0082,16-08-2024,Landing Gear Fix,,3.0,INR 7228.61,13.7,,TEC-162
WO-000646,VEH-0082,24-05-2025,Firmware Update,"Brake Pads, Fluid",11.3,47232.95,83.7,no,TEC-014
WO-000647,VEH-0264,02/11/2024 00:00,Motor Overhaul,"Brake Pads, Fluid",6.2,39581.33,30.4,no,TEC-218
WO-000648,VEH-0264,16-02-2024,Firmware Update,Battery Pack,11.1,36964.05,32.0,,TEC-206
WO-000649,VEH-0264,01/02/2025 00:00,Brake Pad Replacement,Battery Pack,1.2,INR 9418.70,15.1,no,TEC-049
WO-000650,VEH-0264,2025-02-22 00:00:00,Engine Service,"Brake Pads, Fluid",5.1,"13,650.32",30.7,,TEC-199
WO-000651,VEH-0588,10/04/2025 00:00,Brake Pad Replacement,NA,1.6,28512.33,55.0,,TEC-120
WO-000652,VEH-0588,2024-02-18 00:00:00,Motor Overhaul,"Brake Pads, Fluid",8.3,36167.69,50.2,yes,TEC-157
WO-000653,VEH-0588,20-04-2024,Routine Inspection,Propeller x2,13.9,14389.1,28.3,no,TEC-185
WO-000654,VEH-0588,01-07-2024,Motor Overhaul,"Brake Pads, Fluid",6.7,8152.05,68.7,yes,TEC-190
WO-000655,VEH-0588,2024-06-05 00:00:00,Propeller Replacement,"Brake Pads, Fluid",2.9,45120.71,8.3,no,TEC-148
WO-000656,VEH-0588,12/08/2024 00:00,Brake Pad Replacement,Landing Skid,2.6,7987.62,2.5,yes,TEC-045
WO-000657,VEH-0353,27-07-2024,Brake Pad Replacement,NA,9.4,INR 26781.05,10.0,N,TEC-083
WO-000658,VEH-0353,2024-04-07 00:00:00,Battery Pack Swap,"Motor, ESC",4.4,INR 5427.89,78.7,yes,TEC-084
WO-000659,VEH-0353,02-06-2025,Landing Gear Fix,"Motor, ESC",9.3,"27,097.78",7.8,yes,TEC-011
WO-000660,VEH-0353,22/11/2024 00:00,Tyre Change,"Brake Pads, Fluid",9.8,INR 19125.84,22.9,N,TEC-175
WO-000661,VEH-0353,2024-07-13 00:00:00,Tyre Change,"Brake Pads, Fluid",11.4,INR 14424.53,6.0,Y,TEC-174
WO-000662,VEH-0353,2024-02-23 00:00:00,Tyre Change,,12.5,"5,967.68",27.9,N,TEC-128
WO-000663,VEH-0620,18/03/2024 00:00,Propeller Replacement,,2.8,INR 11775.24,59.3,,TEC-099
WO-000664,VEH-0620,31-01-2024,Firmware Update,Landing Skid,12.3,7657.12,14.8,,TEC-125
WO-000665,VEH-0620,17/02/2025 00:00,Motor Overhaul,Battery Pack,1.5,21567.69,14.2,Y,TEC-005
WO-000666,VEH-0620,03/06/2025 00:00,Engine Service,"Brake Pads, Fluid",9.2,41266.48,50.1,,TEC-155
WO-000667,VEH-0620,2024-12-29 00:00:00,Engine Service,Battery Pack,9.3,INR 17293.01,74.5,N,TEC-127
WO-000668,VEH-0620,17-10-2024,Engine Service,Landing Skid,9.3,INR 35509.02,5.6,no,TEC-163
WO-000669,VEH-0650,2025-02-17 00:00:00,Routine Inspection,,8.5,"36,218.47",79.4,no,TEC-131
WO-000670,VEH-0527,2024-08-18 00:00:00,Battery Pack Swap,Propeller x2,8.3,"11,962.99",91.4,yes,TEC-008
WO-000671,VEH-0527,29/12/2024 00:00,Frame Repair,"Motor, ESC",4.8,20450.92,95.9,no,TEC-035
WO-000672,VEH-0527,28-02-2025,Firmware Update,,3.6,25360.74,23.5,Y,TEC-206
WO-000673,VEH-0675,12-01-2024,Tyre Change,"Motor, ESC",9.5,"32,989.32",52.3,Y,TEC-087
WO-000674,VEH-0135,03/04/2025 00:00,Brake Pad Replacement,"Brake Pads, Fluid",7.7,11899.7,65.3,no,TEC-178
WO-000675,VEH-0484,15-08-2024,Motor Overhaul,Battery Pack,11.3,"40,421.75",56.8,yes,TEC-165
WO-000676,VEH-0484,09-01-2025,Landing Gear Fix,NA,6.9,INR 33734.34,13.3,Y,TEC-217
WO-000677,VEH-0723,08/12/2024 00:00,Motor Overhaul,Battery Pack,8.3,"9,107.76",51.9,yes,TEC-062
WO-000678,VEH-0723,11/04/2024 00:00,Firmware Update,NA,4.6,INR 7816.25,70.9,yes,TEC-039
WO-000679,VEH-0723,07-12-2024,Battery Pack Swap,Battery Pack,13.2,16928.45,76.1,Y,TEC-151
WO-000680,VEH-0723,2024-08-07 00:00:00,Firmware Update,Landing Skid,8.5,38222.79,15.7,no,TEC-040
WO-000681,VEH-0544,01-12-2024,Tyre Change,Battery Pack,2.7,40989.25,80.3,Y,TEC-169
WO-000682,VEH-0544,2025-04-27 00:00:00,Landing Gear Fix,"Brake Pads, Fluid",10.7,5344.72,61.2,no,TEC-108
WO-000683,VEH-0544,17-09-2024,Frame Repair,Propeller x2,10.4,6664.29,38.8,,TEC-164
WO-000684,VEH-0544,02-03-2024,Propeller Replacement,NA,8.5,"19,463.26",68.2,yes,TEC-084
WO-000685,VEH-0544,27-04-2024,Firmware Update,"Motor, ESC",6.2,"3,540.41",11.2,Y,TEC-109
WO-000686,VEH-0544,18/01/2024 00:00,Frame Repair,,13.0,1478.66,41.8,N,TEC-014
WO-000687,VEH-0678,06/06/2025 00:00,Landing Gear Fix,"Motor, ESC",null,"6,835.02",93.1,yes,TEC-018
WO-000688,VEH-0678,14-10-2024,Frame Repair,"Motor, ESC",13.6,15188.82,30.0,no,TEC-091
WO-000689,VEH-0678,28-03-2024,Landing Gear Fix,"Brake Pads, Fluid",8.5,INR 40462.22,1.0,N,TEC-165
WO-000690,VEH-0678,2024-07-11 00:00:00,Propeller Replacement,NA,3.2,47897.61,2.1,no,TEC-167
WO-000691,VEH-0713,2024-09-16 00:00:00,Landing Gear Fix,"Motor, ESC",2.7,"16,815.55",62.8,N,TEC-208
WO-000692,VEH-0713,29-06-2024,Routine Inspection,Battery Pack,9.8,25451.14,70.5,no,TEC-205
WO-000693,VEH-0377,01-01-2024,Propeller Replacement,Propeller x2,6.2,36692.02,49.1,Y,TEC-094
WO-000694,VEH-0490,2024-12-11 00:00:00,Frame Repair,"Motor, ESC",4.6,"15,291.53",30.0,yes,TEC-032
WO-000695,VEH-0490,28/11/2024 00:00,Motor Overhaul,Landing Skid,6.7,30507.34,21.8,N,TEC-094
WO-000696,VEH-0490,18/08/2024 00:00,Battery Pack Swap,Propeller x2,10.4,INR 10330.71,72.8,yes,TEC-098
WO-000697,VEH-0490,2025-02-13 00:00:00,Brake Pad Replacement,NA,12.5,22104.6,53.8,,TEC-217
WO-000698,VEH-0373,12-06-2025,Engine Service,"Brake Pads, Fluid",,"18,560.09",36.6,no,TEC-076
WO-000699,VEH-0373,2024-12-16 00:00:00,Engine Service,"Motor, ESC",1.4,"11,066.92",62.8,,TEC-006
WO-000700,VEH-0373,09/07/2024 00:00,Frame Repair,"Brake Pads, Fluid",10.2,INR 23784.97,29.2,,TEC-041
WO-000701,VEH-0482,06/03/2025 00:00,Tyre Change,,13.7,"4,697.89",14.5,yes,TEC-033
WO-000702,VEH-0068,2024-04-12 00:00:00,Engine Service,Propeller x2,7.1,INR 26806.19,57.6,,TEC-080
WO-000703,VEH-0068,2024-07-06 00:00:00,Routine Inspection,NA,2.1,"5,158.67",25.3,yes,TEC-218
WO-000704,VEH-0068,28/02/2025 00:00,Landing Gear Fix,Propeller x2,8.2,41488.81,61.3,,TEC-080
WO-000705,VEH-0068,14-08-2024,Propeller Replacement,Propeller x2,7.8,INR 21087.23,7.6,Y,TEC-172
WO-000706,VEH-0469,2025-06-13 00:00:00,Landing Gear Fix,Battery Pack,11.8,INR 26746.75,81.7,N,TEC-217
WO-000707,VEH-0469,2024-02-18 00:00:00,Motor Overhaul,Landing Skid,7.1,16128.05,83.9,N,TEC-104
WO-000708,VEH-0469,02/03/2025 00:00,Brake Pad Replacement,"Motor, ESC",3.0,17964.79,6.2,N,TEC-073
WO-000709,VEH-0469,2024-10-17 00:00:00,Firmware Update,"Motor, ESC",11.3,43603.49,95.8,,TEC-155
WO-000710,VEH-0469,2024-04-20 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",,INR 17280.24,31.3,yes,TEC-162
WO-000711,VEH-0346,2024-04-12 00:00:00,Frame Repair,"Brake Pads, Fluid",10.8,"47,574.96",59.1,yes,TEC-173
WO-000712,VEH-0346,2025-01-09 00:00:00,Tyre Change,NA,6.3,INR 8896.09,24.0,N,TEC-072
WO-000713,VEH-0447,02/11/2024 00:00,Engine Service,Propeller x2,10.2,INR 27258.55,31.9,yes,TEC-138
WO-000714,VEH-0447,2025-05-20 00:00:00,Landing Gear Fix,"Motor, ESC",-,17250.11,57.0,Y,TEC-062
WO-000715,VEH-0447,20-09-2024,Battery Pack Swap,Propeller x2,13.1,"43,174.00",76.7,Y,TEC-040
WO-000716,VEH-0447,16/10/2024 00:00,Motor Overhaul,,1.0,INR 44870.79,46.0,yes,TEC-114
WO-000717,VEH-0414,2025-04-26 00:00:00,Tyre Change,Propeller x2,8.2,"46,043.61",75.3,,TEC-004
WO-000718,VEH-0414,11/11/2024 00:00,Routine Inspection,"Brake Pads, Fluid",3.3,"38,960.83",2.6,N,TEC-117
WO-000719,VEH-0414,05-12-2024,Frame Repair,Propeller x2,  ,36603.63,90.9,Y,TEC-148
WO-000720,VEH-0414,25-02-2024,Tyre Change,"Motor, ESC",10.9,720.35,66.1,no,TEC-017
